present,present_3rd,past_simple,past_participle,present_participle
am,,was,been,being
,is,was,been,being
are,,were,been,being
have,has,had,had,having
do,does,did,done,doing
say,says,said,said,saying
go,goes,went,gone,going
get,gets,got,got,getting
know,knows,knew,known,knowing
make,makes,made,made,making
think,thinks,thought,thought,thinking
see,sees,saw,seen,seeing
come,comes,came,come,coming
take,takes,took,taken,taking
want,wants,wanted,wanted,wanting
look,looks,looked,looked,looking
use,uses,used,used,using
tell,tells,told,told,telling
find,finds,found,found,finding
give,gives,gave,given,giving
need,needs,needed,needed,needing
work,works,worked,worked,working
try,tries,tried,tried,trying
let,lets,let,let,letting
call,calls,called,called,calling
mean,means,meant,meant,meaning
feel,feels,felt,felt,feeling
ask,asks,asked,asked,asking
talk,talks,talked,talked,talking
keep,keeps,kept,kept,keeping
leave,leaves,left,left,leaving
put,puts,put,put,putting
like,likes,liked,liked,liking
help,helps,helped,helped,helping
start,starts,started,started,starting
become,becomes,became,become,becoming
happen,happens,happened,happened,happening
show,shows,showed,showed,showing
seem,seems,seemed,seemed,seeming
hear,hears,heard,heard,hearing
believe,believes,believed,believed,believing
play,plays,played,played,playing
turn,turns,turned,turned,turning
run,runs,ran,run,running
live,lives,lived,lived,living
write,writes,wrote,written,writing
bring,brings,brought,brought,bringing
move,moves,moved,moved,moving
begin,begins,began,begun,beginning
love,loves,loved,loved,loving
hold,holds,held,held,holding
read,reads,read,read,reading
stop,stops,stopped,stopped,stopping
pay,pays,paid,paid,paying
provide,provides,provided,provided,providing
lose,loses,lost,lost,losing
understand,understands,understood,understood,understanding
wait,waits,waited,waited,waiting
meet,meets,met,met,meeting
thank,thanks,thanked,thanked,thanking
change,changes,changed,changed,changing
watch,watches,watched,watched,watching
sit,sits,sat,sat,sitting
create,creates,created,created,creating
learn,learns,learned,learned,learning
kill,kills,killed,killed,killing
include,includes,included,included,including
stand,stands,stood,stood,standing
follow,follows,followed,followed,following
remember,remembers,remembered,remembered,remembering
speak,speaks,spoke,spoken,speaking
set,sets,set,set,setting
allow,allows,allowed,allowed,allowing
win,wins,won,won,winning
lead,leads,led,led,leading
continue,continues,continued,continued,continuing
spend,spends,spent,spent,spending
stay,stays,stayed,stayed,staying
add,adds,added,added,adding
die,dies,died,died,dying
buy,buys,bought,bought,buying
send,sends,sent,sent,sending
walk,walks,walked,walked,walking
grow,grows,grew,grown,growing
open,opens,opened,opened,opening
consider,considers,considered,considered,considering
hope,hopes,hoped,hoped,hoping
offer,offers,offered,offered,offering
build,builds,built,built,building
expect,expects,expected,expected,expecting
fall,falls,fell,fallen,falling
appear,appears,appeared,appeared,appearing
serve,serves,served,served,serving
break,breaks,broke,broken,breaking
end,ends,ended,ended,ending
require,requires,required,required,requiring
listen,listens,listened,listened,listening
agree,agrees,agreed,agreed,agreeing
cut,cuts,cut,cut,cutting
decide,decides,decided,decided,deciding
pass,passes,passed,passed,passing
eat,eats,ate,eaten,eating
report,reports,reported,reported,reporting
